loan_amnt,term,annual_inc,purpose,home_ownership,outcome
15000,36 months,60000,debt_consolidation,MORTGAGE,paid off
2750,36 months,116000,debt_consolidation,MORTGAGE,default
17600,36 months,95000,debt_consolidation,RENT,paid off
5000,36 months,200000,debt_consolidation,RENT,paid off
4200,60 months,44500,home_improvement,OWN,default
18000,60 months,117000,debt_consolidation,MORTGAGE,paid off
4375,36 months,35000,house,RENT,default
15000,60 months,52884,debt_consolidation,MORTGAGE,paid off
24000,36 months,56758,debt_consolidation,MORTGAGE,paid off
15000,36 months,65000,credit_card,RENT,paid off
28000,60 months,130000,debt_consolidation,MORTGAGE,paid off
16000,60 months,87600,debt_consolidation,RENT,paid off
10000,36 months,51000,debt_consolidation,RENT,paid off
20800,60 months,62401,debt_consolidation,RENT,paid off
25000,60 months,72000,debt_consolidation,RENT,paid off
5000,36 months,37000,debt_consolidation,RENT,paid off
6000,36 months,60000,debt_consolidation,RENT,default
25000,36 months,130000,debt_consolidation,MORTGAGE,default
16000,60 months,68500,debt_consolidation,RENT,default
26850,60 months,70099,credit_card,MORTGAGE,default
3000,36 months,120000,debt_consolidation,RENT,paid off
4000,36 months,22092,credit_card,OWN,paid off
8000,36 months,28000,home_improvement,MORTGAGE,default
18000,60 months,85000,debt_consolidation,MORTGAGE,default
12000,36 months,47448,credit_card,RENT,default
13800,60 months,49000,debt_consolidation,RENT,default
8000,36 months,75000,debt_consolidation,RENT,default
6000,36 months,30000,debt_consolidation,RENT,default
12300,36 months,87147,debt_consolidation,MORTGAGE,paid off
3000,36 months,15000,medical,MORTGAGE,default
35000,60 months,72500,debt_consolidation,MORTGAGE,default
14850,36 months,31500,debt_consolidation,RENT,paid off
10000,36 months,31750,debt_consolidation,OWN,paid off
10000,36 months,50000,credit_card,RENT,paid off
16000,60 months,60000,other,MORTGAGE,paid off
12000,36 months,65000,debt_consolidation,MORTGAGE,paid off
8000,36 months,99996,debt_consolidation,RENT,paid off
15000,36 months,81000,debt_consolidation,RENT,default
18000,60 months,118000,credit_card,MORTGAGE,paid off
15000,36 months,38000,credit_card,MORTGAGE,paid off
30000,60 months,75500,debt_consolidation,MORTGAGE,paid off
10000,36 months,36000,debt_consolidation,RENT,paid off
4750,36 months,14000,debt_consolidation,RENT,paid off
6400,36 months,53947,debt_consolidation,OWN,paid off
21000,60 months,61400,debt_consolidation,MORTGAGE,default
10000,36 months,45500,debt_consolidation,RENT,paid off
7000,36 months,70000,moving,RENT,default
2300,36 months,50000,debt_consolidation,RENT,paid off
10000,36 months,45000,credit_card,RENT,default
6000,36 months,76000,car,MORTGAGE,paid off
20675,60 months,67412,credit_card,MORTGAGE,paid off
28000,36 months,98000,debt_consolidation,MORTGAGE,paid off
1800,36 months,14400,medical,RENT,default
15000,36 months,62000,credit_card,RENT,paid off
13750,60 months,45341,debt_consolidation,RENT,default
2300,60 months,30000,debt_consolidation,RENT,default
19200,60 months,120000,credit_card,MORTGAGE,default
11450,36 months,48000,other,OWN,default
9000,36 months,29000,credit_card,RENT,default
21000,60 months,105000,debt_consolidation,OWN,default
17475,36 months,120000,debt_consolidation,MORTGAGE,default
25000,60 months,60000,credit_card,RENT,paid off
14800,60 months,70000,small_business,MORTGAGE,default
20000,36 months,91575,debt_consolidation,MORTGAGE,default
4000,36 months,40000,moving,RENT,default
7200,36 months,52000,debt_consolidation,RENT,paid off
6400,36 months,37000,credit_card,RENT,paid off
12500,36 months,60000,debt_consolidation,MORTGAGE,paid off
6625,36 months,25000,moving,RENT,default
6600,36 months,81000,debt_consolidation,MORTGAGE,paid off
13000,60 months,54000,debt_consolidation,RENT,default
30000,60 months,80000,debt_consolidation,MORTGAGE,default
8875,36 months,76000,debt_consolidation,RENT,default
30000,60 months,75000,debt_consolidation,MORTGAGE,default
9000,36 months,90000,medical,MORTGAGE,default
24000,60 months,149000,debt_consolidation,RENT,default
11000,36 months,41000,debt_consolidation,RENT,default
18000,36 months,102000,credit_card,MORTGAGE,default
10000,36 months,58000,other,RENT,default
16000,60 months,42500,credit_card,RENT,default
19000,60 months,85000,debt_consolidation,RENT,default
6300,60 months,30096,other,RENT,default
9750,36 months,24300,debt_consolidation,RENT,paid off
3900,36 months,21840,debt_consolidation,MORTGAGE,paid off
16000,36 months,110000,debt_consolidation,MORTGAGE,paid off
6400,36 months,35000,debt_consolidation,RENT,paid off
4675,36 months,35000,debt_consolidation,RENT,default
20000,60 months,52000,credit_card,RENT,paid off
12000,36 months,30000,debt_consolidation,MORTGAGE,default
31425,60 months,75000,debt_consolidation,MORTGAGE,default
10000,60 months,54364,debt_consolidation,MORTGAGE,default
3000,36 months,55000,other,OWN,default
10000,36 months,40000,small_business,RENT,default
16975,60 months,42000,debt_consolidation,RENT,default
31300,60 months,70000,debt_consolidation,RENT,default
10000,36 months,89160,credit_card,RENT,default
7000,36 months,44400,debt_consolidation,RENT,default
11200,36 months,63000,debt_consolidation,RENT,paid off
10000,36 months,33600,debt_consolidation,RENT,default
14500,60 months,38000,other,OWN,paid off
8000,36 months,60000,debt_consolidation,MORTGAGE,paid off
8000,36 months,25000,other,RENT,default
8400,60 months,78206,major_purchase,RENT,default
35000,36 months,120000,debt_consolidation,MORTGAGE,paid off
20000,36 months,57000,credit_card,MORTGAGE,default
5575,36 months,62000,debt_consolidation,OWN,paid off
7200,36 months,115731,debt_consolidation,OWN,paid off
5000,36 months,50000,other,MORTGAGE,default
9600,36 months,72000,debt_consolidation,RENT,default
8800,36 months,30000,credit_card,RENT,default
6000,36 months,90000,credit_card,MORTGAGE,paid off
23000,36 months,75000,debt_consolidation,MORTGAGE,paid off
20000,60 months,90000,credit_card,RENT,default
4000,36 months,31000,car,OWN,paid off
7000,36 months,55000,debt_consolidation,MORTGAGE,default
5200,36 months,70000,debt_consolidation,MORTGAGE,paid off
1500,36 months,48000,other,RENT,default
14000,36 months,56000,debt_consolidation,MORTGAGE,paid off
20000,60 months,55000,home_improvement,MORTGAGE,default
7200,36 months,35000,debt_consolidation,MORTGAGE,default
6000,36 months,41000,debt_consolidation,RENT,default
2400,60 months,52000,other,RENT,paid off
8500,36 months,22000,debt_consolidation,OWN,default
19600,36 months,80000,debt_consolidation,MORTGAGE,paid off
3175,36 months,15000,small_business,OWN,default
35000,60 months,105000,debt_consolidation,MORTGAGE,default
9600,36 months,55000,credit_card,MORTGAGE,paid off
15000,36 months,43000,debt_consolidation,MORTGAGE,default
3500,36 months,63000,debt_consolidation,MORTGAGE,paid off
12000,60 months,60000,debt_consolidation,RENT,default
8000,36 months,37000,credit_card,RENT,default
10000,36 months,73000,debt_consolidation,MORTGAGE,paid off
7000,36 months,58000,debt_consolidation,MORTGAGE,default
16000,36 months,93000,debt_consolidation,MORTGAGE,default
16000,60 months,80000,debt_consolidation,MORTGAGE,default
6700,36 months,45000,credit_card,MORTGAGE,paid off
6350,36 months,23000,debt_consolidation,RENT,default
7200,36 months,50000,credit_card,RENT,default
20000,36 months,127000,debt_consolidation,OWN,paid off
20000,60 months,60000,debt_consolidation,RENT,default
6000,36 months,25000,debt_consolidation,RENT,paid off
5600,36 months,50000,other,RENT,paid off
6550,36 months,29500,small_business,RENT,paid off
14400,60 months,65000,debt_consolidation,OWN,paid off
25000,60 months,85000,credit_card,RENT,paid off
9000,36 months,69000,credit_card,MORTGAGE,default
16425,36 months,42000,debt_consolidation,RENT,default
10000,36 months,40000,debt_consolidation,RENT,paid off
20000,36 months,61000,home_improvement,MORTGAGE,paid off
4950,60 months,35000,small_business,MORTGAGE,default
16000,36 months,150000,medical,MORTGAGE,default
7700,36 months,59000,debt_consolidation,RENT,default
15000,36 months,100000,other,MORTGAGE,default
4000,36 months,32000,credit_card,RENT,default
10000,36 months,60000,debt_consolidation,RENT,default
14125,60 months,35000,debt_consolidation,RENT,default
5000,60 months,36000,other,RENT,default
5000,36 months,79800,debt_consolidation,MORTGAGE,paid off
9000,36 months,36000,home_improvement,RENT,default
5000,36 months,78000,credit_card,MORTGAGE,paid off
1000,36 months,27000,other,MORTGAGE,default
6600,36 months,36400,debt_consolidation,RENT,paid off
17000,60 months,50000,debt_consolidation,RENT,default
14400,60 months,72000,major_purchase,MORTGAGE,paid off
16000,36 months,48000,debt_consolidation,RENT,default
8000,36 months,40000,other,RENT,paid off
9600,36 months,70000,debt_consolidation,MORTGAGE,default
32000,60 months,75000,small_business,RENT,default
13000,36 months,126000,credit_card,MORTGAGE,paid off
10000,36 months,32000,credit_card,RENT,default
15000,36 months,36000,credit_card,RENT,default
5000,36 months,38000,debt_consolidation,RENT,paid off
32350,36 months,82000,small_business,MORTGAGE,default
11200,36 months,30000,credit_card,RENT,default
6000,36 months,36000,debt_consolidation,RENT,paid off
4800,36 months,54000,debt_consolidation,MORTGAGE,paid off
1800,36 months,48000,major_purchase,MORTGAGE,default
11300,36 months,37000,small_business,RENT,default
9600,36 months,60902,debt_consolidation,RENT,default
18000,36 months,275000,debt_consolidation,MORTGAGE,paid off
7000,36 months,45000,debt_consolidation,OWN,paid off
12850,36 months,43000,debt_consolidation,RENT,default
4000,36 months,29000,debt_consolidation,MORTGAGE,paid off
12025,36 months,35000,credit_card,MORTGAGE,default
2000,36 months,22000,other,RENT,default
4250,36 months,67000,debt_consolidation,MORTGAGE,default
24650,60 months,45000,debt_consolidation,RENT,default
14000,36 months,47000,credit_card,RENT,default
6925,60 months,35000,debt_consolidation,MORTGAGE,default
4750,36 months,55000,other,MORTGAGE,paid off
4200,36 months,48000,other,RENT,paid off
16000,36 months,80400,home_improvement,MORTGAGE,paid off
25000,36 months,110000,home_improvement,MORTGAGE,default
9000,36 months,47164,debt_consolidation,MORTGAGE,paid off
18000,36 months,75000,credit_card,MORTGAGE,paid off
25000,36 months,62500,debt_consolidation,MORTGAGE,default
31000,36 months,130000,debt_consolidation,RENT,paid off
20000,60 months,107899,debt_consolidation,MORTGAGE,paid off
35000,60 months,117600,credit_card,MORTGAGE,default
11500,60 months,35000,debt_consolidation,RENT,default
6500,36 months,62000,credit_card,MORTGAGE,paid off
2200,36 months,117600,other,RENT,paid off
10000,36 months,114000,major_purchase,MORTGAGE,paid off
2125,36 months,123000,debt_consolidation,MORTGAGE,paid off
12000,60 months,62000,debt_consolidation,MORTGAGE,paid off
15000,36 months,48000,debt_consolidation,RENT,paid off
25000,60 months,155000,small_business,MORTGAGE,default
11625,60 months,40000,small_business,MORTGAGE,default
12000,36 months,50000,debt_consolidation,MORTGAGE,paid off
11700,36 months,53832,credit_card,MORTGAGE,paid off
10000,36 months,57600,debt_consolidation,MORTGAGE,default
15250,36 months,42000,debt_consolidation,RENT,default
25000,60 months,83500,credit_card,OWN,default
14000,36 months,82000,house,MORTGAGE,default
8000,36 months,75000,debt_consolidation,RENT,paid off
5500,36 months,47000,credit_card,MORTGAGE,paid off
12000,36 months,56187,debt_consolidation,MORTGAGE,paid off
24000,36 months,105000,car,RENT,default
10050,36 months,150000,small_business,MORTGAGE,paid off
3575,36 months,30000,debt_consolidation,RENT,paid off
15350,36 months,80000,major_purchase,MORTGAGE,paid off
18800,36 months,60000,debt_consolidation,RENT,paid off
11000,36 months,52704,debt_consolidation,MORTGAGE,paid off
7000,36 months,45673,major_purchase,MORTGAGE,paid off
12000,36 months,81000,debt_consolidation,RENT,default
8000,36 months,30000,major_purchase,RENT,default
5000,36 months,38436,debt_consolidation,RENT,default
6600,36 months,66000,debt_consolidation,MORTGAGE,default
2400,36 months,55000,other,RENT,paid off
5700,36 months,39996,other,RENT,paid off
14000,60 months,60000,credit_card,RENT,paid off
21000,60 months,89319,credit_card,MORTGAGE,paid off
2100,36 months,39000,moving,RENT,paid off
25000,60 months,95000,debt_consolidation,MORTGAGE,default
20000,36 months,225000,credit_card,MORTGAGE,paid off
24000,36 months,110000,debt_consolidation,RENT,paid off
13000,60 months,85000,debt_consolidation,MORTGAGE,default
8000,36 months,43500,credit_card,MORTGAGE,paid off
3750,36 months,22000,credit_card,MORTGAGE,default
2700,36 months,50000,debt_consolidation,OWN,paid off
10000,36 months,35000,credit_card,RENT,paid off
35000,36 months,110000,debt_consolidation,MORTGAGE,default
3000,36 months,41235,other,OWN,default
4000,36 months,27600,car,RENT,paid off
23500,60 months,60000,credit_card,MORTGAGE,default
5375,36 months,40000,debt_consolidation,OWN,default
7000,36 months,55000,debt_consolidation,MORTGAGE,paid off
21000,36 months,150000,debt_consolidation,MORTGAGE,default
11700,36 months,48000,debt_consolidation,MORTGAGE,paid off
6000,36 months,80607,other,RENT,paid off
1000,36 months,42000,moving,RENT,paid off
20000,36 months,85000,other,RENT,default
4000,36 months,32328,debt_consolidation,MORTGAGE,default
10000,36 months,72000,debt_consolidation,MORTGAGE,default
10000,36 months,76000,medical,MORTGAGE,default
20000,60 months,105000,debt_consolidation,MORTGAGE,default
6000,36 months,70000,debt_consolidation,RENT,default
6000,36 months,50000,home_improvement,OWN,default
9000,36 months,41000,credit_card,RENT,paid off
3000,36 months,69000,car,MORTGAGE,default
29700,60 months,67000,debt_consolidation,MORTGAGE,default
2000,36 months,34445,other,MORTGAGE,default
20325,36 months,51000,debt_consolidation,RENT,default
15000,36 months,102000,debt_consolidation,MORTGAGE,default
12000,36 months,310000,home_improvement,MORTGAGE,paid off
6000,36 months,66000,credit_card,RENT,paid off
9000,36 months,41000,debt_consolidation,MORTGAGE,paid off
16000,36 months,130000,debt_consolidation,MORTGAGE,default
15000,36 months,65004,debt_consolidation,RENT,default
35000,36 months,164208,debt_consolidation,MORTGAGE,paid off
21000,36 months,111400,debt_consolidation,RENT,paid off
22000,36 months,150000,debt_consolidation,MORTGAGE,paid off
8000,36 months,55000,vacation,RENT,default
7200,36 months,35004,debt_consolidation,RENT,paid off
5000,36 months,70000,car,RENT,paid off
13000,36 months,73500,debt_consolidation,RENT,paid off
1500,36 months,28800,debt_consolidation,RENT,paid off
9500,36 months,36000,debt_consolidation,MORTGAGE,default
5200,36 months,80000,home_improvement,MORTGAGE,default
10000,36 months,35000,credit_card,RENT,default
25000,60 months,70000,debt_consolidation,RENT,default
25000,36 months,64000,debt_consolidation,RENT,default
6500,36 months,68000,home_improvement,MORTGAGE,paid off
25000,36 months,110000,debt_consolidation,MORTGAGE,paid off
22500,36 months,98500,credit_card,MORTGAGE,paid off
5000,36 months,85000,major_purchase,MORTGAGE,paid off
27000,36 months,172000,debt_consolidation,RENT,paid off
10000,36 months,85000,other,MORTGAGE,default
1000,36 months,50000,debt_consolidation,MORTGAGE,default
6000,60 months,65000,debt_consolidation,MORTGAGE,default
3000,36 months,37000,credit_card,RENT,default
10000,36 months,30000,debt_consolidation,MORTGAGE,default
14300,36 months,36400,debt_consolidation,MORTGAGE,default
21000,36 months,80000,debt_consolidation,MORTGAGE,default
11000,36 months,60000,debt_consolidation,RENT,default
25000,36 months,65000,debt_consolidation,RENT,paid off
2075,36 months,20400,medical,MORTGAGE,paid off
18150,60 months,45500,debt_consolidation,MORTGAGE,paid off
12000,36 months,94992,debt_consolidation,RENT,paid off
3000,36 months,49800,medical,RENT,default
8000,36 months,30000,medical,MORTGAGE,paid off
35000,60 months,70000,home_improvement,MORTGAGE,default
11200,36 months,86000,debt_consolidation,MORTGAGE,paid off
11575,36 months,24000,debt_consolidation,OWN,default
35000,36 months,145000,debt_consolidation,MORTGAGE,paid off
10000,36 months,90000,debt_consolidation,RENT,default
4000,36 months,50000,debt_consolidation,RENT,default
17500,36 months,39480,debt_consolidation,MORTGAGE,paid off
19750,60 months,40560,debt_consolidation,OWN,default
13000,60 months,42996,debt_consolidation,RENT,paid off
12600,36 months,58000,debt_consolidation,RENT,paid off
11500,60 months,71000,credit_card,MORTGAGE,default
7000,36 months,58000,debt_consolidation,MORTGAGE,paid off
35000,36 months,88000,debt_consolidation,MORTGAGE,paid off
10000,36 months,21000,other,RENT,paid off
4800,36 months,60000,credit_card,OWN,paid off
6000,36 months,100000,credit_card,MORTGAGE,paid off
8400,36 months,45000,credit_card,RENT,default
21000,36 months,86666,debt_consolidation,RENT,paid off
10000,36 months,53000,credit_card,RENT,paid off
600,36 months,25000,other,RENT,paid off
8000,36 months,57000,debt_consolidation,MORTGAGE,paid off
35000,60 months,114328,credit_card,MORTGAGE,default
30000,60 months,74000,debt_consolidation,MORTGAGE,default
12000,36 months,32000,credit_card,RENT,default
15000,36 months,75000,debt_consolidation,RENT,default
35000,60 months,145000,major_purchase,RENT,default
21850,36 months,56000,credit_card,MORTGAGE,paid off
19500,36 months,60000,debt_consolidation,RENT,default
11325,36 months,44000,debt_consolidation,MORTGAGE,paid off
15000,36 months,52500,debt_consolidation,RENT,paid off
5000,36 months,63800,medical,MORTGAGE,default
9350,36 months,69000,debt_consolidation,MORTGAGE,default
6000,36 months,112000,other,MORTGAGE,paid off
20000,36 months,55000,other,OTHER,default
35000,36 months,150000,small_business,RENT,default
8000,60 months,33600,major_purchase,RENT,default
6825,36 months,50000,other,MORTGAGE,paid off
20000,60 months,69000,major_purchase,MORTGAGE,default
16000,60 months,59000,wedding,RENT,default
4000,36 months,42500,credit_card,MORTGAGE,paid off
9450,36 months,68000,credit_card,RENT,paid off
19600,60 months,55000,home_improvement,OWN,default
25000,60 months,67500,home_improvement,MORTGAGE,default
28000,36 months,145000,debt_consolidation,MORTGAGE,paid off
20000,60 months,110000,debt_consolidation,MORTGAGE,default
11700,36 months,58780,moving,MORTGAGE,paid off
8000,36 months,46477,credit_card,OWN,paid off
12000,36 months,57000,credit_card,MORTGAGE,paid off
30000,36 months,93000,debt_consolidation,RENT,default
18200,60 months,91000,debt_consolidation,MORTGAGE,paid off
2000,36 months,35416,home_improvement,RENT,paid off
10000,36 months,67900,credit_card,MORTGAGE,paid off
12000,36 months,77100,debt_consolidation,RENT,paid off
10000,36 months,49000,debt_consolidation,MORTGAGE,default
24000,60 months,72000,debt_consolidation,MORTGAGE,default
10000,36 months,60000,debt_consolidation,RENT,default
24000,60 months,99000,credit_card,MORTGAGE,paid off
10000,36 months,43653,credit_card,RENT,default
12000,36 months,82560,credit_card,RENT,paid off
12500,36 months,93000,credit_card,RENT,paid off
20000,36 months,88000,debt_consolidation,RENT,paid off
18800,36 months,52890,debt_consolidation,MORTGAGE,paid off
30000,60 months,75000,debt_consolidation,MORTGAGE,paid off
16000,60 months,85000,home_improvement,MORTGAGE,paid off
10975,36 months,50000,debt_consolidation,RENT,default
7200,36 months,39000,home_improvement,MORTGAGE,paid off
14400,36 months,137424,home_improvement,MORTGAGE,paid off
9975,36 months,33738,debt_consolidation,RENT,paid off
14000,36 months,105000,credit_card,RENT,paid off
19750,36 months,65000,wedding,RENT,default
8500,36 months,43000,debt_consolidation,MORTGAGE,default
8500,36 months,31200,debt_consolidation,RENT,paid off
35000,60 months,103200,wedding,MORTGAGE,default
16425,60 months,37000,debt_consolidation,MORTGAGE,default
500,36 months,18000,other,RENT,paid off
15000,36 months,44580,credit_card,MORTGAGE,paid off
26500,60 months,60000,debt_consolidation,OWN,default
18000,36 months,90000,home_improvement,OWN,paid off
30000,36 months,75000,small_business,MORTGAGE,default
22325,36 months,75000,debt_consolidation,MORTGAGE,default
5175,36 months,29000,home_improvement,MORTGAGE,default
26550,36 months,79294,debt_consolidation,RENT,default
35000,60 months,85000,credit_card,MORTGAGE,paid off
12250,36 months,55000,debt_consolidation,RENT,paid off
10150,36 months,70000,credit_card,MORTGAGE,default
16000,60 months,77000,debt_consolidation,RENT,default
18650,60 months,52000,debt_consolidation,MORTGAGE,default
19000,36 months,60000,small_business,RENT,default
4400,36 months,65000,debt_consolidation,MORTGAGE,paid off
5000,36 months,60000,debt_consolidation,MORTGAGE,paid off
12500,36 months,46000,debt_consolidation,RENT,paid off
4400,36 months,36000,other,MORTGAGE,default
2200,36 months,13500,car,RENT,default
22750,60 months,52000,credit_card,MORTGAGE,default
1500,36 months,39996,debt_consolidation,RENT,default
4000,36 months,33000,other,MORTGAGE,paid off
9600,36 months,71000,debt_consolidation,MORTGAGE,paid off
10400,36 months,55000,debt_consolidation,OWN,default
12000,60 months,82000,debt_consolidation,MORTGAGE,default
12000,36 months,50000,debt_consolidation,RENT,paid off
31500,60 months,75000,debt_consolidation,RENT,paid off
3000,36 months,34008,other,RENT,paid off
6000,36 months,21600,debt_consolidation,RENT,paid off
18000,60 months,45349,other,RENT,paid off
10400,36 months,175000,debt_consolidation,RENT,paid off
32000,36 months,103000,credit_card,MORTGAGE,default
21850,60 months,45000,debt_consolidation,MORTGAGE,default
15000,36 months,110000,debt_consolidation,OWN,default
24000,36 months,128000,credit_card,MORTGAGE,paid off
9600,60 months,60000,major_purchase,RENT,paid off
20000,36 months,135000,credit_card,MORTGAGE,paid off
15600,36 months,44000,debt_consolidation,MORTGAGE,paid off
5375,36 months,50000,other,RENT,default
22250,60 months,50000,credit_card,MORTGAGE,paid off
29175,36 months,65000,house,RENT,default
9600,36 months,42000,debt_consolidation,MORTGAGE,paid off
4750,36 months,19200,debt_consolidation,RENT,paid off
25000,36 months,367000,debt_consolidation,MORTGAGE,default
7500,36 months,52000,debt_consolidation,MORTGAGE,default
8475,36 months,30000,debt_consolidation,MORTGAGE,default
7800,36 months,62000,home_improvement,MORTGAGE,paid off
7000,36 months,40000,debt_consolidation,RENT,paid off
6000,36 months,30000,credit_card,RENT,default
1000,36 months,62000,debt_consolidation,RENT,paid off
12300,60 months,35256,debt_consolidation,MORTGAGE,default
11975,60 months,64584,debt_consolidation,MORTGAGE,paid off
28000,60 months,90000,debt_consolidation,MORTGAGE,default
7500,36 months,105000,debt_consolidation,MORTGAGE,paid off
18000,36 months,160000,debt_consolidation,MORTGAGE,default
8400,60 months,53844,home_improvement,MORTGAGE,default
18000,36 months,51000,moving,RENT,default
24250,36 months,55000,house,MORTGAGE,paid off
7250,36 months,62467,credit_card,RENT,paid off
12000,36 months,50361,debt_consolidation,RENT,paid off
16000,36 months,41000,debt_consolidation,MORTGAGE,default
7000,36 months,60000,debt_consolidation,MORTGAGE,paid off
10000,36 months,250000,small_business,MORTGAGE,default
8000,36 months,95000,other,RENT,default
35000,60 months,109500,debt_consolidation,RENT,default
15000,36 months,53000,credit_card,OWN,paid off
4600,36 months,50000,debt_consolidation,RENT,default
4000,36 months,72000,major_purchase,MORTGAGE,paid off
25000,60 months,151000,credit_card,MORTGAGE,paid off
12000,36 months,60000,debt_consolidation,MORTGAGE,default
14675,36 months,38000,debt_consolidation,RENT,default
18000,60 months,75000,debt_consolidation,MORTGAGE,paid off
9925,36 months,65000,debt_consolidation,OWN,paid off
21000,36 months,185000,small_business,MORTGAGE,paid off
27200,60 months,195000,major_purchase,MORTGAGE,default
18000,36 months,56964,debt_consolidation,RENT,paid off
7000,36 months,20800,debt_consolidation,OWN,default
13000,36 months,51996,debt_consolidation,RENT,default
20000,36 months,65000,debt_consolidation,MORTGAGE,default
35000,60 months,95000,credit_card,RENT,default
24000,36 months,70000,debt_consolidation,RENT,paid off
